alert_id,customer_id,customer_segment,customer_tenure_years,country,counterparty_country,txn_amount,txn_type,counterparty,alert_reason,prior_alerts_90d,is_true_positive
AL000000,C13905,retail,18,FR,GB,5304.26,cash,CP2535,dormant_reactivation,0,0
AL000001,C65392,retail,24,US,AU,8783.77,wire,CP6574,structuring,2,0
AL000002,C80284,retail,1,JP,AU,90065.36,ach,CP3045,sanctions_match,0,0
AL000003,C47930,business,21,FR,ZA,18209.42,wire,CP2307,pep_match,0,0
AL000004,C89840,business,21,BR,JP,8610.7,wire,CP3803,structuring,0,0
AL000005,C62581,retail,1,SG,DE,16349.28,cash,CP5386,dormant_reactivation,0,0
AL000006,C28301,retail,14,ZA,MX,9235.41,ach,CP5040,structuring,3,1
AL000007,C24371,private,2,AU,RU,1135.64,card,CP3504,velocity,0,0
AL000008,C11504,retail,17,AU,AU,100000.0,card,CP2876,round_amount,0,0
AL000009,C44522,retail,23,FR,JP,73728.28,wire,CP9201,sanctions_match,0,0
AL000010,C79514,private,24,CA,SY,32019.68,ach,CP1009,pep_match,0,0
AL000011,C19071,retail,2,CA,MX,7926.86,card,CP9727,structuring,3,0
AL000012,C36365,private,17,SG,KP,2661.99,ach,CP6107,velocity,5,0
AL000013,C38864,retail,17,JP,SG,62352.45,wire,CP1117,sanctions_match,0,0
AL000014,C27342,retail,15,DE,US,16655.34,ach,CP8744,pep_match,0,0
AL000015,C95649,retail,23,AU,CA,21666.35,ach,CP2612,dormant_reactivation,0,0
AL000016,C19880,retail,7,CA,DE,13972.27,ach,CP8260,high_risk_geo,0,0
AL000017,C62565,business,15,AE,US,231628.56,card,CP1960,sanctions_match,0,0
AL000018,C73788,retail,17,AU,SG,2143.89,card,CP3536,velocity,8,0
AL000019,C76562,retail,16,US,US,15817.52,wire,CP2312,dormant_reactivation,0,0
AL000020,C91183,business,18,CA,DE,5000.0,card,CP2343,round_amount,1,0
AL000021,C69929,retail,21,JP,TR,35866.35,wire,CP6180,dormant_reactivation,0,0
AL000022,C42018,business,11,AE,CA,134639.78,ach,CP7054,sanctions_match,0,0
AL000023,C24029,retail,4,FR,US,40891.79,wire,CP3546,dormant_reactivation,1,0
AL000024,C46265,retail,2,JP,FR,14770.64,card,CP1722,high_risk_geo,2,0
AL000025,C81511,retail,22,FR,SG,19113.35,ach,CP1590,high_risk_geo,0,0
AL000026,C37535,business,1,GB,US,1855.03,card,CP5088,velocity,5,0
AL000027,C64040,retail,25,AU,MM,9827.42,wire,CP1406,structuring,0,0
AL000028,C71694,retail,12,BR,NG,12558.73,wire,CP4644,pep_match,1,0
AL000029,C46585,retail,2,MX,DE,7851.83,wire,CP6753,structuring,0,0
AL000030,C55309,retail,3,JP,AE,933.91,card,CP6139,velocity,0,0
AL000031,C97900,retail,25,IR,DE,269.71,ach,CP4228,velocity,0,0
AL000032,C48752,retail,10,JP,CA,45022.33,ach,CP3085,dormant_reactivation,1,0
AL000033,C66346,retail,9,AU,GB,16382.11,ach,CP6279,high_risk_geo,2,0
AL000034,C40784,retail,10,DE,GB,4422.82,ach,CP6085,dormant_reactivation,1,0
AL000035,C60328,retail,20,US,SG,21994.75,wire,CP9099,high_risk_geo,0,0
AL000036,C83060,retail,16,US,AE,21372.28,wire,CP5082,pep_match,5,0
AL000037,C76162,business,14,GB,NG,24757.85,ach,CP7991,high_risk_geo,5,0
AL000038,C78327,business,8,GB,SG,25000.0,cash,CP8939,round_amount,2,0
AL000039,C30028,retail,4,CA,DE,1712.45,card,CP4505,velocity,0,0
AL000040,C85456,retail,22,SG,DE,21123.15,card,CP7232,pep_match,1,1
AL000041,C45774,retail,7,MX,AU,19950.31,ach,CP8140,high_risk_geo,1,0
AL000042,C13552,retail,18,AU,SG,9947.78,ach,CP2375,structuring,3,0
AL000043,C46471,retail,24,SG,FR,25000.0,wire,CP7906,round_amount,0,0
AL000044,C42411,retail,1,US,US,1159.9,wire,CP4266,velocity,5,0
AL000045,C89593,business,11,DE,CA,23955.14,ach,CP2876,high_risk_geo,0,0
AL000046,C87607,private,22,FR,US,2900.19,card,CP4978,velocity,0,0
AL000047,C65057,retail,20,CA,US,2687.09,ach,CP9031,velocity,0,0
AL000048,C80539,retail,20,NG,BR,7818.96,wire,CP8921,dormant_reactivation,0,0
AL000049,C89997,retail,24,ZA,DE,46744.17,wire,CP7209,pep_match,0,0
AL000050,C82848,retail,22,JP,DE,3999.27,ach,CP1166,velocity,3,0
AL000051,C12260,retail,15,DE,SG,20163.29,ach,CP2524,high_risk_geo,1,0
AL000052,C56112,retail,23,DE,JP,100000.0,ach,CP8434,round_amount,0,0
AL000053,C73464,retail,6,CA,JP,185848.83,card,CP5530,sanctions_match,1,0
AL000054,C26591,private,0,VE,AE,9867.06,wire,CP5494,pep_match,0,0
AL000055,C72746,retail,18,FR,GB,43449.37,ach,CP8216,dormant_reactivation,3,0
AL000056,C29887,retail,20,MX,BR,205617.85,ach,CP3444,sanctions_match,0,0
AL000057,C59856,business,7,AE,IR,20288.87,ach,CP8381,high_risk_geo,2,0
AL000058,C96563,business,20,AU,US,24202.18,wire,CP2330,high_risk_geo,2,0
AL000059,C69510,retail,9,CA,AU,100000.0,ach,CP2166,round_amount,0,0
AL000060,C19359,retail,8,NG,DE,5000.0,ach,CP1977,round_amount,1,0
